,epoch,loss,loss_dpo,loss_llh
164,165.0,7.2946685e-05,7.124477e-05,1.7019146e-06
165,166.0,7.2071096e-05,7.051124e-05,1.5598565e-06
166,167.0,6.964088e-05,6.7849156e-05,1.79173e-06
167,168.0,6.660663e-05,6.506938e-05,1.537251e-06
168,169.0,6.485283e-05,6.335349e-05,1.4993418e-06
169,170.0,6.3985215e-05,6.2545354e-05,1.439861e-06
170,171.0,6.152411e-05,6.029813e-05,1.2259807e-06
171,172.0,5.80125e-05,5.6528093e-05,1.4844084e-06
172,173.0,5.7136465e-05,5.5876815e-05,1.259649e-06
173,174.0,5.5900702e-05,5.457968e-05,1.3210225e-06
174,175.0,5.3835985e-05,5.2721396e-05,1.1145895e-06
175,176.0,5.3224016e-05,5.2051964e-05,1.1720532e-06
176,177.0,5.098214e-05,4.9881914e-05,1.1002277e-06
177,178.0,4.9439197e-05,4.818947e-05,1.2497254e-06
178,179.0,4.769687e-05,4.6505804e-05,1.1910663e-06
179,180.0,4.772481e-05,4.6848632e-05,8.7617576e-07
180,181.0,4.4765187e-05,4.372787e-05,1.0373186e-06
181,182.0,4.360547e-05,4.236229e-05,1.243177e-06
182,183.0,4.2003492e-05,4.1052943e-05,9.5055066e-07
183,184.0,4.166217e-05,4.0796956e-05,8.652134e-07
184,185.0,3.916616e-05,3.8187805e-05,9.783553e-07
185,186.0,3.8608167e-05,3.7770813e-05,8.3735307e-07
186,187.0,3.7226968e-05,3.6276404e-05,9.505665e-07
187,188.0,3.71434e-05,3.633474e-05,8.086584e-07
188,189.0,3.4831097e-05,3.405783e-05,7.7327024e-07
189,190.0,3.415772e-05,3.328607e-05,8.716519e-07
190,191.0,3.260366e-05,3.1810414e-05,7.9324826e-07
191,192.0,3.2525433e-05,3.1747237e-05,7.7819846e-07
192,193.0,3.1261596e-05,3.0602812e-05,6.587864e-07
193,194.0,2.9942335e-05,2.9233977e-05,7.083583e-07
194,195.0,2.9489494e-05,2.8764358e-05,7.2513535e-07
195,196.0,2.8640221e-05,2.8030036e-05,6.101862e-07
196,197.0,2.7832095e-05,2.7220849e-05,6.1124564e-07
197,198.0,2.7062191e-05,2.641597e-05,6.4622134e-07
198,199.0,2.6018792e-05,2.5356856e-05,6.6193684e-07
199,200.0,2.5522459e-05,2.4990588e-05,5.318711e-07
200,201.0,2.438266e-05,2.3782548e-05,6.0011257e-07
201,202.0,2.4269233e-05,2.3683651e-05,5.855812e-07
202,203.0,2.3677718e-05,2.3185607e-05,4.921111e-07
203,204.0,2.3159128e-05,2.2609856e-05,5.4927204e-07
204,205.0,2.1691172e-05,2.1156195e-05,5.3497735e-07
205,206.0,2.1213016e-05,2.072079e-05,4.9222695e-07
206,207.0,2.0375934e-05,1.9863302e-05,5.1263e-07
207,208.0,2.0378953e-05,1.99041e-05,4.7485264e-07
208,209.0,1.9143627e-05,1.8690025e-05,4.536007e-07
209,210.0,1.865679e-05,1.8247123e-05,4.09667e-07
210,211.0,1.8088336e-05,1.7577122e-05,5.1121447e-07
211,212.0,1.7850394e-05,1.7482362e-05,3.680311e-07
212,213.0,1.7133558e-05,1.6725664e-05,4.078943e-07
213,214.0,1.6558966e-05,1.6172651e-05,3.8631492e-07
214,215.0,1.622294e-05,1.5798183e-05,4.2475654e-07
215,216.0,1.599324e-05,1.5601849e-05,3.9139348e-07
216,217.0,1.5230557e-05,1.4835461e-05,3.950959e-07
217,218.0,1.48527615e-05,1.4523878e-05,3.2888298e-07
218,219.0,1.425718e-05,1.39215945e-05,3.355851e-07
219,220.0,1.3906938e-05,1.3556886e-05,3.500511e-07
220,221.0,1.38111145e-05,1.34899765e-05,3.211374e-07
221,222.0,1.3287075e-05,1.2990209e-05,2.9686544e-07
222,223.0,1.2902225e-05,1.2514701e-05,3.8752404e-07
223,224.0,1.25593e-05,1.2269133e-05,2.901673e-07
224,225.0,1.1935165e-05,1.1644393e-05,2.9077222e-07
225,226.0,1.15453495e-05,1.1282948e-05,2.6240068e-07
226,227.0,1.1298314e-05,1.10006795e-05,2.9763473e-07
227,228.0,1.0879242e-05,1.0614081e-05,2.6516125e-07
228,229.0,1.0730939e-05,1.0467799e-05,2.6313927e-07
229,230.0,1.0414895e-05,1.0142786e-05,2.7210868e-07
230,231.0,1.0409338e-05,1.0172011e-05,2.3732797e-07
231,232.0,9.848251e-06,9.5925525e-06,2.5569759e-07
232,233.0,9.457353e-06,9.21919e-06,2.3816331e-07
233,234.0,9.202202e-06,8.974576e-06,2.2762593e-07
234,235.0,9.050007e-06,8.827653e-06,2.2235376e-07
235,236.0,8.935782e-06,8.7581475e-06,1.776352e-07
236,237.0,8.481084e-06,8.287821e-06,1.9326147e-07
237,238.0,8.164996e-06,7.952785e-06,2.1221081e-07
238,239.0,8.392919e-06,8.203801e-06,1.8911732e-07
239,240.0,7.759409e-06,7.5653816e-06,1.940274e-07
240,241.0,7.52595e-06,7.3326587e-06,1.9329107e-07
241,242.0,7.368426e-06,7.1941595e-06,1.7426605e-07
242,243.0,7.1423356e-06,6.9495463e-06,1.9278916e-07
243,244.0,6.830872e-06,6.6626103e-06,1.6826142e-07
244,245.0,6.6381267e-06,6.478487e-06,1.5963946e-07
245,246.0,6.5098775e-06,6.3435677e-06,1.6630977e-07
246,247.0,6.400703e-06,6.243376e-06,1.5732743e-07
247,248.0,6.2052823e-06,6.019805e-06,1.8547713e-07
248,249.0,5.920268e-06,5.7747625e-06,1.4550538e-07
249,250.0,5.8605406e-06,5.7086913e-06,1.5184895e-07
250,251.0,5.6732324e-06,5.5291744e-06,1.4405778e-07
251,252.0,5.5568357e-06,5.4339453e-06,1.2289073e-07
252,253.0,5.4148536e-06,5.270405e-06,1.4444856e-07
253,254.0,5.197498e-06,5.0564167e-06,1.4108141e-07
254,255.0,5.0622275e-06,4.9365017e-06,1.2572583e-07
255,256.0,5.0165954e-06,4.8926145e-06,1.2398108e-07
256,257.0,4.752727e-06,4.648267e-06,1.0445966e-07
257,258.0,4.607458e-06,4.4905664e-06,1.1689147e-07
258,259.0,4.4721965e-06,4.3501086e-06,1.2208797e-07
259,260.0,4.3461855e-06,4.2318834e-06,1.1430213e-07
260,261.0,4.169043e-06,4.066706e-06,1.0233714e-07
261,262.0,4.113899e-06,4.0115665e-06,1.0233252e-07
262,263.0,3.949522e-06,3.8409676e-06,1.0855418e-07
263,264.0,3.9120096e-06,3.8176486e-06,9.43609e-08
264,265.0,3.7818324e-06,3.692927e-06,8.89055e-08
265,266.0,3.6224012e-06,3.524114e-06,9.828738e-08
266,267.0,3.5996015e-06,3.506241e-06,9.3360555e-08
267,268.0,3.48756e-06,3.4050488e-06,8.2511e-08
268,269.0,3.3206984e-06,3.2459986e-06,7.469975e-08
269,270.0,3.2805322e-06,3.1904653e-06,9.006676e-08
270,271.0,3.1076445e-06,3.0241433e-06,8.3501234e-08
271,272.0,3.0590477e-06,2.9743842e-06,8.466342e-08
272,273.0,2.9635114e-06,2.8889874e-06,7.452402e-08
273,274.0,2.9045411e-06,2.8329132e-06,7.1627944e-08
274,275.0,2.8242496e-06,2.7575843e-06,6.666509e-08
275,276.0,2.785577e-06,2.7253864e-06,6.0190445e-08
276,277.0,2.6338819e-06,2.570113e-06,6.3768645e-08
277,278.0,2.5738375e-06,2.5072186e-06,6.6618924e-08
278,279.0,2.535619e-06,2.4739468e-06,6.1672e-08
279,280.0,2.4465664e-06,2.3865673e-06,5.9999145e-08
280,281.0,2.3981e-06,2.3375956e-06,6.050434e-08
281,282.0,2.3236305e-06,2.2655984e-06,5.8032057e-08
282,283.0,2.2191168e-06,2.1614937e-06,5.7623062e-08
283,284.0,2.1442163e-06,2.088988e-06,5.5228504e-08
284,285.0,2.0967034e-06,2.0450632e-06,5.1640097e-08
285,286.0,2.0708399e-06,2.0184737e-06,5.2366207e-08
286,287.0,1.960635e-06,1.9074264e-06,5.3208602e-08
287,288.0,1.9728247e-06,1.918923e-06,5.390171e-08
288,289.0,1.8643691e-06,1.8158432e-06,4.8525834e-08
289,290.0,1.7916052e-06,1.7495084e-06,4.209681e-08
290,291.0,1.822265e-06,1.7765026e-06,4.576238e-08
291,292.0,1.7118233e-06,1.6686724e-06,4.315092e-08
292,293.0,1.6721334e-06,1.6303508e-06,4.1782585e-08
293,294.0,1.6087879e-06,1.5647998e-06,4.398811e-08
294,295.0,1.5912153e-06,1.554388e-06,3.68273e-08
295,296.0,1.5537332e-06,1.5123829e-06,4.135026e-08
