,step,loss
117,118.0,0.29443932
118,119.0,0.122149795
119,120.0,0.24644512
120,121.0,0.14483306
121,122.0,0.103816904
122,123.0,0.44245067
123,124.0,0.25080973
124,125.0,0.24101788
125,126.0,0.39535996
126,127.0,0.26702502
127,128.0,0.17071863
128,129.0,0.19454789
129,130.0,0.52872646
130,131.0,0.056740403
131,132.0,0.21418639
132,133.0,0.27647823
133,134.0,0.26987413
134,135.0,0.08514134
135,136.0,0.083350584
136,137.0,0.09072788
137,138.0,0.07146023
138,139.0,0.18639489
139,140.0,0.51996356
140,141.0,0.06514506
141,142.0,0.38270423
142,143.0,0.2558088
143,144.0,0.38892362
144,145.0,0.021559348
145,146.0,0.4944049
146,147.0,0.050077118
147,148.0,0.19175248
148,149.0,0.35563743
149,150.0,0.3253576
150,151.0,0.25098318
151,152.0,0.28206903
152,153.0,0.6546356
153,154.0,0.43261614
154,155.0,0.3310136
155,156.0,0.22120738
156,157.0,0.47244745
157,158.0,0.35195607
158,159.0,0.44626024
159,160.0,0.02436304
160,161.0,0.1057178
161,162.0,0.3379108
162,163.0,0.21097082
163,164.0,0.14051236
164,165.0,0.16883604
165,166.0,0.13120775
166,167.0,0.166191
167,168.0,0.30711883
168,169.0,0.08635911
169,170.0,0.19483446
170,171.0,0.27080876
171,172.0,0.14826308
172,173.0,0.20678525
173,174.0,0.25633913
174,175.0,0.23852928
175,176.0,0.076717936
176,177.0,0.21609777
177,178.0,0.338197
178,179.0,0.5801768
179,180.0,0.34709767
180,181.0,0.31447262
181,182.0,0.20358065
182,183.0,0.31005856
183,184.0,0.26158008
184,185.0,0.1761866
185,186.0,0.40427974
186,187.0,0.09609054
187,188.0,0.22246392
188,189.0,0.079462714
189,190.0,0.55896
190,191.0,0.234181
191,192.0,0.43124273
192,193.0,0.046707615
193,194.0,0.09506164
194,195.0,0.17229068
195,196.0,0.034775093
196,197.0,0.46519133
197,198.0,0.067821495
198,199.0,0.13048437
199,200.0,0.27262923
200,201.0,0.4075814
201,202.0,0.15271254
202,203.0,0.1230434
203,204.0,0.12491707
204,205.0,0.25666013
205,206.0,0.20922165
206,207.0,0.31968692
207,208.0,0.42128745
208,209.0,0.3242536
209,210.0,0.30689055
210,211.0,0.21906903
211,212.0,0.28594592
212,213.0,0.223833
213,214.0,0.045018394
214,215.0,0.15584211
215,216.0,0.2014741
216,217.0,0.31211057
217,218.0,0.13846578
218,219.0,0.014524557
219,220.0,0.21048646
220,221.0,0.27710623
221,222.0,0.3957081
222,223.0,0.36552995
223,224.0,0.2735604
224,225.0,0.14700374
225,226.0,0.09607884
226,227.0,0.31520262
227,228.0,0.44487458
228,229.0,0.124646135
229,230.0,0.17229916
230,231.0,0.14092095
231,232.0,0.14819358
232,233.0,0.0988787
233,234.0,0.7315802
234,235.0,0.14789504
235,236.0,0.15423508
236,237.0,0.23235318
237,238.0,0.3704361
238,239.0,0.059022613
239,240.0,0.29889187
240,241.0,0.44680566
241,242.0,0.14705002
242,243.0,0.25457603
243,244.0,0.26787177
244,245.0,0.44375706
245,246.0,0.20784615
246,247.0,0.24399625
247,248.0,0.21669564
248,249.0,0.14089349
249,250.0,0.25657472
250,251.0,0.089206494
251,252.0,0.2873399
252,253.0,0.23639338
253,254.0,0.15170608
254,255.0,0.049281776
255,256.0,0.1705272
256,257.0,0.26969337
257,258.0,0.23966338
258,259.0,0.23762502
259,260.0,0.14293146
260,261.0,0.1722574
261,262.0,0.12621357
262,263.0,0.18796897
263,264.0,0.19752227
264,265.0,0.1998809
265,266.0,0.117444746
